Pair	Ka	Ks	Ka/Ks	SeqQ	SeqS
1	0.0000	0.0000	0.0010	Typhaang_comp22603_c0_seq1	Typhaang_comp22603_c0_seq2
2	0.0364	0.0643	0.5658	Typhaang_comp22687_c0_seq1	Typhaang_comp22687_c0_seq2
3	0.0000	0.0000	0.4019	Typhaang_comp22833_c0_seq1	Typhaang_comp22833_c0_seq2
4	0.0000	0.0000	0.4018	Typhaang_comp22988_c0_seq1	Typhaang_comp22988_c0_seq2
5	0.0000	0.0000	0.4006	Typhaang_comp23106_c0_seq1	Typhaang_comp23106_c0_seq2
6	0.0836	0.6608	0.1265	Typhaang_comp23274_c0_seq1	Typhaang_comp23274_c0_seq2
7	0.0013	0.0000	99.0000	Typhaang_comp24087_c0_seq1	Typhaang_comp24087_c0_seq2
8	0.0329	0.2855	0.1151	Typhaang_comp24376_c0_seq1	Typhaang_comp24376_c0_seq2
9	0.0039	0.0000	99.0000	Typhaang_comp24825_c0_seq1	Typhaang_comp24825_c0_seq2
10	0.0018	0.0000	99.0000	Typhaang_comp25223_c0_seq1	Typhaang_comp25223_c0_seq2
11	0.0000	0.0000	0.0010	Typhaang_comp25493_c0_seq1	Typhaang_comp25493_c0_seq2
12	0.0022	0.0000	99.0000	Typhaang_comp27155_c0_seq1	Typhaang_comp27155_c0_seq2
13	0.0636	0.6350	0.1002	Typhaang_comp28365_c0_seq1	Typhaang_comp28365_c0_seq2
14	0.0332	0.3410	0.0975	Typhaang_comp28431_c0_seq1	Typhaang_comp28431_c0_seq2
15	0.0000	0.0000	0.0010	Typhaang_comp28598_c0_seq1	Typhaang_comp28598_c0_seq2
16	0.0000	0.0000	0.4018	Typhaang_comp28826_c0_seq1	Typhaang_comp28826_c0_seq2
17	0.0015	0.0000	99.0000	Typhaang_comp29421_c0_seq1	Typhaang_comp29421_c0_seq2
18	0.0059	0.0102	0.5790	Typhaang_comp30448_c0_seq1	Typhaang_comp30448_c0_seq2
19	0.0000	0.0031	0.0010	Typhaang_comp31512_c0_seq1	Typhaang_comp31512_c0_seq2
20	0.0000	0.0000	0.0010	Typhaang_comp33386_c0_seq1	Typhaang_comp33386_c0_seq2
21	0.0000	0.0052	0.0010	Typhaang_comp33609_c0_seq1	Typhaang_comp33609_c0_seq2
22	0.0579	0.5070	0.1143	Typhaang_comp33839_c1_seq1	Typhaang_comp33839_c1_seq2
23	0.0370	0.3251	0.1139	Typhaang_comp33951_c0_seq1	Typhaang_comp33951_c0_seq2
24	0.0000	0.0000	0.0010	Typhaang_comp33958_c0_seq1	Typhaang_comp33958_c0_seq2
25	0.0427	0.4974	0.0859	Typhaang_comp33964_c1_seq1	Typhaang_comp33964_c1_seq2
26	0.0000	0.0000	0.4019	Typhaang_comp34156_c0_seq1	Typhaang_comp34156_c0_seq2
27	0.0497	0.0886	0.5616	Typhaang_comp34185_c0_seq1	Typhaang_comp34185_c0_seq2
28	0.0000	0.0000	0.4019	Typhaang_comp34296_c0_seq1	Typhaang_comp34296_c0_seq2
29	0.1060	0.2967	0.3574	Typhaang_comp34331_c0_seq1	Typhaang_comp34331_c0_seq2
30	0.0167	0.1612	0.1036	Typhaang_comp34462_c0_seq1	Typhaang_comp34462_c0_seq2
31	0.0000	0.0000	0.3567	Typhaang_comp34525_c0_seq1	Typhaang_comp34525_c0_seq2
32	0.0255	0.0336	0.7598	Typhaang_comp34655_c0_seq1	Typhaang_comp34655_c0_seq2
33	0.0000	0.0000	0.4021	Typhaang_comp34759_c0_seq1	Typhaang_comp34759_c0_seq2
34	0.0101	0.0101	0.9970	Typhaang_comp34795_c0_seq1	Typhaang_comp34795_c0_seq2
35	0.0000	0.0000	0.4017	Typhaang_comp34859_c0_seq1	Typhaang_comp34859_c0_seq2
36	0.0001	0.1087	0.0010	Typhaang_comp34863_c0_seq1	Typhaang_comp34863_c0_seq2
37	0.0486	0.5496	0.0885	Typhaang_comp34879_c0_seq1	Typhaang_comp34879_c0_seq2
38	0.0005	0.4835	0.0010	Typhaang_comp34909_c0_seq1	Typhaang_comp34909_c0_seq2
39	0.1015	1.8728	0.0542	Typhaang_comp34932_c0_seq2	Typhaang_comp34932_c0_seq3
40	0.0000	0.0076	0.0010	Typhaang_comp34957_c0_seq1	Typhaang_comp34957_c0_seq2
41	0.0923	0.1977	0.4668	Typhaang_comp34963_c0_seq1	Typhaang_comp34963_c0_seq2
42	0.0030	0.0000	99.0000	Typhaang_comp35010_c0_seq2	Typhaang_comp35010_c0_seq4
43	0.0030	0.0000	99.0000	Typhaang_comp35010_c0_seq2	Typhaang_comp35010_c0_seq3
44	0.0244	0.0210	1.1597	Typhaang_comp35049_c0_seq1	Typhaang_comp35049_c0_seq2
45	0.0378	1.0891	0.0347	Typhaang_comp35065_c0_seq1	Typhaang_comp35065_c0_seq2
46	0.0000	0.0000	0.4018	Typhaang_comp35085_c0_seq1	Typhaang_comp35085_c0_seq2
47	0.0000	0.0000	0.3840	Typhaang_comp35153_c0_seq1	Typhaang_comp35153_c0_seq2
48	0.0781	1.3541	0.0577	Typhaang_comp35197_c0_seq1	Typhaang_comp35197_c0_seq2
49	0.0000	0.0000	0.4005	Typhaang_comp39003_c0_seq1	Typhaang_comp39003_c0_seq2
50	0.0000	0.0000	0.4019	Typhaang_comp40012_c0_seq1	Typhaang_comp40012_c0_seq2
51	0.0375	0.6721	0.0558	Typhaang_comp40264_c0_seq1	Typhaang_comp40264_c0_seq2
52	0.0192	0.2613	0.0736	Typhaang_comp40340_c0_seq1	Typhaang_comp40340_c0_seq2
53	0.4093	0.6069	0.6744	Typhaang_comp40555_c0_seq1	Typhaang_comp40555_c0_seq2
54	0.0000	0.0085	0.0010	Typhaang_comp40811_c0_seq1	Typhaang_comp40811_c0_seq2
55	0.0284	0.0705	0.4031	Typhaang_comp41025_c0_seq1	Typhaang_comp41025_c0_seq3
56	0.0000	0.0131	0.0010	Typhaang_comp41027_c0_seq1	Typhaang_comp41027_c0_seq2
